MARKET_CD,HSN_CD,HSN_NM,TOWN_CD,TOWN_NM,ZIP,STORE_CD,STORE_NM,ADDR,ISOPEN
OK,A,台北市,,士林區,111,0002,福林店,台北市士林區中山北路５段702號,Y
OK,A,台北市,,內湖區,114,0004,港墘店,台北市內湖區港墘路84號,Y
OK,F,新北市,,三重區,241,0005,三重成功店,新北市三重區成功路97號,Y
OK,A,台北市,,中正區,100,0006,台北廈門店,台北市中正區廈門街113巷17號,Y
OK,H,桃園市,,大園區,337,0013,大園三和店,桃園市大園區拔子林9-9號1樓,Y
OK,A,台北市,,大安區,106,0014,金山南路店,台北市大安區金山南路２段113號,Y
OK,A,台北市,,中正區,100,0015,華山店,台北市中正區紹興北街8-1號,Y
OK,E,高雄市,,鼓山區,804,0016,高雄明華店,高雄市鼓山區裕誠路1584/1586/1588號,Y
OK,E,高雄市,,鳥松區,833,0017,高雄美山店,高雄市鳥松區美山路99號,Y
OK,F,新北市,,板橋區,220,0018,板橋萬板店,新北市板橋區莊敬路168號,Y
OK,A,台北市,,中正區,100,0020,汀州路店,台北市中正區汀州路３段109號,Y
OK,H,桃園市,,中壢區,320,0022,中壢信義店,桃園市中壢區中北路２段400號,Y
OK,C,基隆市,,信義區,201,0026,基隆中興店,基隆市信義區信二路93號1樓,Y
OK,F,新北市,,瑞芳區,224,0028,瑞芳店,新北市瑞芳區明燈路三段84號,Y
OK,C,基隆市,,仁愛區,200,0029,基隆孝四店,基隆市仁愛區孝四路11號,Y
OK,F,新北市,,板橋區,220,0030,板橋自由店,新北市板橋區自由路34、36號1樓,Y
OK,C,基隆市,,安樂區,204,0031,基隆樂利店,基隆市安樂區樂利三街68號,Y
OK,F,新北市,,中和區,235,0032,中和中山店,新北市中和區中山路二段252號,Y
OK,F,新北市,,蘆洲區,247,0033,蘆洲中山店,新北市蘆洲區中山二路77號,Y
OK,G,宜蘭縣,,羅東鎮,265,0034,羅東天祥店,宜蘭縣羅東鎮天祥路95、97號ㄧ樓,Y
OK,C,基隆市,,仁愛區,200,0035,基隆光華店,基隆市仁愛區成功一路133巷42-1號,Y
OK,H,桃園市,,中壢區,320,0037,中壢福州店,桃園市中壢區中北路二段350～354號,Y
OK,A,台北市,,北投區,112,0038,北投吉利店,台北市北投區吉利街140號,Y
OK,F,新北市,,永和區,234,0042,永和民享店,新北市永和區民享街4號,Y
OK,A,台北市,,萬華區,108,0043,萬大店,台北市萬華區萬大路423巷12號,Y
OK,F,新北市,,淡水區,251,0052,淡水中山店,新北市淡水區中山北路１段102號,Y
OK,K,苗栗縣,,竹南鎮,350,0054,竹南明勝店,苗栗縣竹南鎮海口里明勝路392號1樓,Y
OK,D,台南市,,官田區,720,0057,台南官田店,台南市官田區南?32號1樓,Y
OK,H,桃園市,,平鎮區,324,0058,平鎮湧光店,桃園市平鎮區湧光路448.450號,Y
OK,N,彰化縣,,彰化市,500,0059,彰化延平店,彰化縣彰化市大埔路485巷37號1樓,Y
OK,C,基隆市,,中正區,202,0061,基隆海洋店,基隆市中正區新豐街420.422號1樓,Y
OK,F,新北市,,新莊區,242,0066,新莊思源店,新北市新莊區福壽街156號,Y
OK,F,新北市,,新店區,231,0067,新店安康店,新北市新店區安康路２段266號,Y
OK,F,新北市,,新莊區,242,0069,新莊建中店,新北市新莊區建中街28號,Y
OK,F,新北市,,板橋區,220,0070,板橋溪北店,新北市板橋區溪北路51號,Y
OK,A,台北市,,大同區,103,0071,大同重北店,台北市大同區重慶北路三段278之2號,Y
OK,C,基隆市,,仁愛區,200,0074,基隆南榮店,基隆市仁愛區南榮路7號,Y
OK,C,基隆市,,暖暖區,205,0075,基隆華城店,基隆市暖暖區碇內街210、212號,Y
OK,H,桃園市,,八德區,334,0076,桃園高城店,桃園市八德區高城路72號,Y
OK,H,桃園市,,大溪區,335,0078,員樹林店,桃園市大溪區員林路2段409、411號1樓,Y
OK,B,台中市,,大甲區,437,0079,大甲高中店,台中市大甲區順天路2號1樓,Y
OK,A,台北市,,中山區,104,0080,中原店,台北市中山區中原街41號,Y
OK,H,桃園市,,桃園區,330,0084,桃園建國店,桃園市桃園區建國路156-9號,Y
OK,F,新北市,,鶯歌區,239,0085,鶯歌永吉店,新北市鶯歌區鶯桃路208號1樓,Y
OK,A,台北市,,信義區,110,0088,虎林店,台北市信義區虎林街72號,Y
OK,H,桃園市,,中壢區,320,0089,中壢華勛店,桃園市中壢區華勛街293號1樓,Y
OK,H,桃園市,,平鎮區,324,0090,平鎮德育店,桃園市平鎮區德育路２段165號1樓,Y
OK,F,新北市,,瑞芳區,224,0091,三爪子坑店,新北市瑞芳區三爪子坑路125號,Y
OK,B,台中市,,西區,403,0092,台中公益店,台中市西區公益路95號,Y
OK,F,新北市,,三峽區,237,0093,三峽中福店,新北市三峽區中山路9號1樓,Y
OK,B,台中市,,大肚區,432,0095,大肚遊園店,台中市大肚區遊園路２段129、131號,Y
OK,G,宜蘭縣,,羅東鎮,265,0097,羅東集祥店,宜蘭縣羅東鎮天津路6號1樓,Y
OK,B,台中市,,西屯區,407,0098,台中福星店,台中市西屯區福星路327號,Y
OK,E,高雄市,,三民區,807,0100,高雄澄清店,高雄市三民區澄清路449號1樓,Y
OK,G,宜蘭縣,,宜蘭市,260,0101,宜蘭中山店,宜蘭縣宜蘭市中山路三段290號1樓,Y
OK,G,宜蘭縣,,宜蘭市,260,0102,宜蘭神農店,宜蘭縣宜蘭市神農路一段2號1樓,Y
OK,J,新竹縣,,新豐鄉,304,0103,新豐福興店,新竹縣新豐鄉福興村9鄰十一股93號1樓,Y
OK,C,基隆市,,中正區,202,0104,基隆祥豐店,基隆市中正區祥豐街321號,Y
OK,B,台中市,,西區,403,0105,台中公館店,台中市西區南屯路１段49-1號1樓,Y
OK,B,台中市,,西區,403,0108,台中居仁店,台中市西區居仁街23號,Y
OK,N,彰化縣,,彰化市,500,0109,彰化國聖店,彰化縣彰化市中山路三段512號1樓,Y
OK,A,台北市,,中山區,104,0110,亞都店,台北市中山區民權東路２段71巷7號,Y
OK,F,新北市,,新莊區,242,0111,新莊昌平店,新北市新莊區昌平街2號,Y
OK,A,台北市,,文山區,116,0112,興隆店,台北市文山區興隆路一段138號,Y
OK,C,基隆市,,中山區,203,0113,基隆聖心店,基隆市中山區西定路254號,Y
OK,F,新北市,,中和區,235,0114,中和員穗店,新北市中和區員山路468號,Y
OK,F,新北市,,新莊區,242,0116,新莊四維店,新北市新莊區四維路123-1號,Y
OK,H,桃園市,,中壢區,320,0119,中壢仁愛店,桃園市中壢區新中北路840、842號1樓,Y
OK,A,台北市,,內湖區,114,0121,內湖明湖店,台北市內湖區東湖路43巷26弄1號,Y
OK,H,桃園市,,平鎮區,324,0124,平鎮崇泰店,桃園市平鎮區延平路三段6-1號1樓,Y
OK,B,台中市,,北區,404,0128,台中忠太店,台中市北區忠明路369號,Y
OK,J,新竹縣,,關西鎮,306,0129,關西東光店,新竹縣關西鎮十六張111號,Y
OK,H,桃園市,,中壢區,320,0131,中壢復華店,桃園市中壢區復華街50號1樓,Y
OK,H,桃園市,,平鎮區,324,0133,平鎮忠貞店,桃園市平鎮區龍南路349號,Y
OK,F,新北市,,深坑區,222,0135,平埔店,新北市深坑區文化街76號,Y
OK,A,台北市,,南港區,115,0136,成福店,台北市南港區成福路44號,Y
OK,H,桃園市,,中壢區,320,0137,中壢興仁店,桃園市中壢區興仁路二段295號、297巷1號1樓,Y
OK,C,基隆市,,仁愛區,200,0138,基隆華三店,基隆市仁愛區華三街20號,Y
OK,H,桃園市,,楊梅區,326,0139,楊梅永美店,桃園市楊梅區永美路163號,Y
OK,H,桃園市,,大園區,337,0142,桃園果林店,桃園市大園區拔子林23-1號,Y
OK,H,桃園市,,中壢區,320,0147,中壢王子店,桃園市中壢區王子街50號,Y
OK,A,台北市,,松山區,105,0148,台北新東店,台北市松山區新東街11巷28號,Y
OK,C,基隆市,,仁愛區,200,0149,基隆南新店,基隆市仁愛區南新街60號,Y
OK,H,桃園市,,中壢區,320,0150,中壢永泰店,桃園市中壢區溪洲街71號一樓,Y
OK,A,台北市,,北投區,112,0151,致遠店,台北市北投區致遠一路１段44號,Y
OK,C,基隆市,,七堵區,206,0154,基隆東新店,基隆市七堵區東新街67、69號,Y
OK,F,新北市,,三重區,241,0159,三重中北店,新北市三重區中正北路147號,Y
OK,F,新北市,,土城區,236,0164,土城延吉店,新北市土城區延吉街170號,Y
OK,J,新竹縣,,湖口鄉,303,0167,湖口中正店,新竹縣湖口鄉中正路１段104號,Y
OK,B,台中市,,北屯區,406,0169,台中綏遠店,台中市北屯區綏遠路二段216號,Y
OK,F,新北市,,新莊區,242,0170,新莊龍安店,新北市新莊區四維路215號,Y
OK,B,台中市,,南屯區,408,0172,台中向心南店,台中市南屯區向心南路983號,Y
OK,C,基隆市,,中正區,202,0173,基隆新富店,基隆市中正區新豐街251巷7弄35.37號,Y
OK,P,雲林縣,,西螺鎮,648,0175,彰基雲林門市,雲林縣西螺鎮市場南路375號1樓,Y
OK,M,南投縣,,草屯鎮,542,0177,草屯敦和店,南投縣草屯鎮敦和路47號1樓,Y
OK,A,台北市,,信義區,110,0181,北醫店,台北市信義區吳興街220巷33號,Y
OK,F,新北市,,汐止區,221,0182,汐止厚德店,新北市汐止區樟樹一路135巷19、21號1樓,Y
OK,F,新北市,,土城區,236,0183,土城中央店,新北市土城區中央路１段182號,Y
OK,J,新竹縣,,湖口鄉,303,0184,湖口達生店,新竹縣湖口鄉達生路90、92號1樓,Y
OK,B,台中市,,南屯區,408,0187,台中黎明店,台中市南屯區黎明路２段510號,Y
OK,A,台北市,,松山區,105,0189,台北豐達店,台北市松山區敦化北路155巷87號之1,Y
OK,F,新北市,,蘆洲區,247,0191,蘆洲正義店,新北市蘆洲區中原路12巷25號,Y
OK,F,新北市,,新店區,231,0196,新店中興店,新北市新店區檳榔路29巷2、4號一樓,Y
OK,F,新北市,,瑞芳區,224,0198,瑞芳建基店,新北市瑞芳區建基路一段64號1樓,Y
OK,J,新竹縣,,湖口鄉,303,0199,湖口德興店,新竹縣湖口鄉八德路２段76號1樓,Y
OK,F,新北市,,板橋區,220,0201,板橋華德店,新北市板橋區四川路二段245巷53號,Y
OK,F,新北市,,淡水區,251,0202,下奎柔山店,新北市淡水區淡金路３段333號,Y
OK,C,基隆市,,中正區,202,0203,基隆和一店,基隆市中正區和一路86.88號,Y
OK,H,桃園市,,中壢區,320,0204,中壢徐州店,桃園市中壢區環中東路二段328號1樓,Y
OK,F,新北市,,三重區,241,0205,三重中正南店,新北市三重區中正南路117號,Y
OK,H,桃園市,,蘆竹區,338,0207,南崁中正店,桃園市蘆竹區中正路203號1樓,Y
OK,K,苗栗縣,,竹南鎮,350,0209,竹南佳興店,苗栗縣竹南鎮照南路2號1樓,Y
OK,B,台中市,,西屯區,407,0210,台中河南店,台中市西屯區河南路二段502號,Y
OK,H,桃園市,,大溪區,335,0213,大溪得勝店,桃園市大溪區得勝路1號,Y
OK,C,基隆市,,七堵區,206,0217,基隆泰安店,基隆市七堵區泰安路23-12號,Y
OK,A,台北市,,士林區,111,0220,士林克強店,台北市士林區中山北路６段193號,Y
OK,H,桃園市,,龍潭區,325,0224,龍潭龍元店,桃園市龍潭區龍元路110號,Y
OK,A,台北市,,中山區,104,0225,北安店,台北市中山區北安路476號,Y
OK,C,基隆市,,仁愛區,200,0227,基隆成功店,基隆市仁愛區成功一路43.45號,Y
OK,B,台中市,,南區,402,0230,台中仁和店,台中市南區台中路382/386號,Y
OK,F,新北市,,汐止區,221,0232,汐止福德店,新北市汐止區福德一路197號,Y
OK,F,新北市,,萬里區,207,0237,萬里店,新北市萬里區瑪鋉路39號,Y
OK,B,台中市,,西屯區,407,0240,台中中工店,台中市西屯區中工三路60.62號1樓,Y
OK,C,基隆市,,中正區,202,0242,基隆新三益店,基隆市中正區中船路18號1樓,Y
OK,H,桃園市,,八德區,334,0243,大湳和平店,桃園市八德區和平路222號,Y
OK,T,屏東縣,,麟洛鄉,909,0245,屏東麟洛店,屏東縣麟洛鄉民族路120號1+2樓,Y
OK,C,基隆市,,中正區,202,0246,基隆信六店,基隆市中正區義二路191號1樓,Y
OK,N,彰化縣,,二水鄉,530,0248,彰化二水店,彰化縣二水鄉光文路9號1樓,Y
OK,H,桃園市,,大溪區,335,0252,大溪中華店,桃園市大溪區信義路158號,Y
OK,E,高雄市,,三民區,807,0253,高雄工專店,高雄市三民區建工路411號,Y
OK,B,台中市,,沙鹿區,433,0254,沙鹿公明店,台中市沙鹿區忠貞路202、204號,Y
OK,C,基隆市,,暖暖區,205,0259,基隆源遠店,基隆市暖暖區源遠路299號,Y
