MARKET_CD,HSN_CD,HSN_NM,TOWN_CD,TOWN_NM,ZIP,STORE_CD,STORE_NM,ADDR,ISOPEN
FM,,彰化縣,,溪湖鎮,514,3564,溪湖雙溪店,彰化縣溪湖鎮大竹里彰水路二段７４５號１樓,Y
FM,,新北市,,淡水區,251,2353,淡水登峰店,新北市淡水區中正東路二段２７號２樓,Y
FM,,新北市,,板橋區,220,2816,板橋板農店,新北市板橋區府中路２９—１號１樓,Y
FM,,台中市,,西區,403,3244,台中後龍店,台中市西區後龍街５８號民權路３０２號,Y
FM,,台中市,,南屯區,408,4114,台中惠中店,台中市南屯區惠中路三段４６號、４８號、５０號,Y
FM,,台北市,,中正區,100,6598,台醫店,台北市中正區中山南路７號１樓,Y
FM,,台中市,,西屯區,407,8854,台中儷晶店,台中市西屯區青海路二段１５３號,Y
FM,,台北市,,中山區,104,5989,中賓店,台北市中山區中山里中山北路二段５９之３號１樓,Y
FM,,花蓮縣,,新城鄉,971,8350,新城佳山店,花蓮縣新城鄉佳林村佳林１０５號,Y
FM,,花蓮縣,,花蓮市,970,12231,花蓮中福店,花蓮縣花蓮市中正路２６８號１樓,Y
FM,,新北市,,淡水區,251,12237,淡水富山店,新北市淡水區水源街二段１７７巷６７號,Y
FM,,新竹縣,,竹北市,302,12247,竹北六家店,新竹縣竹北市文興路二段５２９號全部,Y
FM,,台南市,,麻豆區,721,12250,麻豆興民店,台南市麻豆區興中路５１號,Y
FM,,新北市,,中和區,235,12255,中和新秀店,新北市中和區秀朗路三段４４號１樓,Y
FM,,新北市,,三重區,241,12257,三重菜寮店,新北市三重區重新路三段１２６號１樓,Y
FM,,彰化縣,,員林市,510,12271,員林正新店,彰化縣員林市三民東街３５０號,Y
FM,,台中市,,潭子區,427,12304,潭子摘星店,台中市潭子區雅豐街３２３號,Y
FM,,台中市,,潭子區,427,12305,潭子新圓通店,台中市潭子區勝利路５８號１樓,Y
FM,,桃園市,,蘆竹區,338,12307,蘆竹洛陽店,桃園市蘆竹區南榮村光明路一段１１９號１２１號一樓,Y
FM,,新北市,,淡水區,251,12355,淡水旭陞店,新北市淡水區新興里新生街５３號１樓,Y
FM,,屏東縣,,東港鎮,928,12522,東港東光店,屏東縣東港鎮長春二路２０６號,Y
FM,,台中市,,沙鹿區,433,12536,沙鹿鎮平店,台中市沙鹿區鎮南路二段９５號１樓,Y
FM,,新北市,,三重區,241,12550,三重成功店,新北市三重區福德里成功路１４５巷４５號４７號一樓,Y
FM,,台北市,,中山區,104,12544,新林森店,台北市中山區林森北路６３０號１樓,Y
FM,,花蓮縣,,新城鄉,971,12565,新城嘉新店,花蓮縣新城鄉嘉新村花師街３７號一樓,Y
FM,,彰化縣,,彰化市,500,12561,彰化金馬店,彰化縣彰化市彰馬路２４６之１號,Y
FM,,屏東縣,,屏東市,900,12563,屏東長安店,屏東縣屏東市光復路３４８號一樓,Y
FM,,新北市,,汐止區,221,12413,汐止亞太二店,新北市汐止區新台五路一段８２至１１６號、Ｄ８—２號,Y
FM,,宜蘭縣,,五結鄉,268,12415,五結興盛店,宜蘭縣五結鄉五結路三段７５１號１Ｆ,Y
FM,,新北市,,泰山區,243,12416,泰山麗池店,新北市泰山區泰林路二段５１８號,Y
FM,,苗栗縣,,南庄鄉,353,12430,南庄桂花園店,苗栗縣南庄鄉南江村５鄰東江８９號１樓,Y
FM,,高雄市,,三民區,807,12442,高雄大興店,高雄市三民區大裕路３８號,Y
FM,,嘉義市,,西區,600,12459,嘉義光路店,嘉義市西區民生南路５２８號１樓,Y
FM,,台南市,,南區,702,12461,台南新和店,台南市南區新建路４７號１樓,Y
FM,,新北市,,淡水區,251,12464,淡水新江店,新北市淡水區中山北路二段１８８巷１６號１樓,Y
FM,,新竹縣,,湖口鄉,303,12487,湖口新安宅店,新竹縣湖口鄉光復東路１３３號,Y
FM,,台中市,,大雅區,428,12491,大雅中科店,台中市大雅區六寶里中清路４段５８１號,Y
FM,,台中市,,西屯區,407,12493,台中金豹店,台中市西屯區四川一街２６號,Y
FM,,高雄市,,前鎮區,806,12496,高雄明鳳店,高雄市前鎮區明鳳三路６５號,Y
FM,,新北市,,淡水區,251,12586,淡水麗景店,新北市淡水區學府路３０號１樓,Y
FM,,宜蘭縣,,員山鄉,264,12587,宜蘭內城店,宜蘭縣員山鄉內城路４５５號１樓,Y
FM,,新北市,,土城區,236,12590,土城冠延店,新北市土城區延和路１１１號,Y
FM,,嘉義縣,,中埔鄉,606,12595,中埔和興店,嘉義縣中埔鄉和興村中山路五段９４３號,Y
FM,,高雄市,,鳳山區,830,12596,鳳山中崙店,高雄市鳳山區中崙四路１號,Y
FM,,台北市,,信義區,110,12588,永隆店,台北市信義區基隆路１段１４７巷７號,Y
FM,,屏東縣,,屏東市,900,12598,屏東華盛店,屏東縣屏東市崇武里永大路６６號一樓,Y
FM,,新竹市,,東區,300,12583,新竹鐵支店,新竹市東區鐵道路一段２８巷７９號１樓,Y
FM,,新北市,,中和區,235,12607,中和遠建店,新北市中和區建一路１７６號１樓,Y
FM,,新北市,,板橋區,220,12606,板橋信陽店,新北市板橋區信義里信義路７２號一樓,Y
FM,,新北市,,新莊區,242,12608,新莊新園寧店,新北市新莊區建興街１０１號,Y
FM,,高雄市,,楠梓區,811,12620,高雄藍天店,高雄市楠梓區藍昌路３５８號,Y
FM,,桃園市,,桃園區,330,12630,桃園鼎聖店,桃園市桃園區國鼎一街２８號,Y
FM,,桃園市,,桃園區,330,12629,桃園德壽店,桃園市桃園區介壽路４１２號,Y
FM,,苗栗縣,,頭份鎮,351,12633,頭份田寮店,苗栗縣頭份市田寮里１０鄰自強路２段６２８號,Y
FM,,桃園市,,楊梅區,326,12628,楊梅瑞平店,桃園市楊梅區梅獅路二段１６８號１樓,Y
FM,,花蓮縣,,花蓮市,970,11221,花蓮鑫和店,花蓮縣花蓮市和平路５９７號壹樓,Y
FM,,屏東縣,,東港鎮,928,12655,東港興東店,屏東縣東港鎮興東路４９之２號,Y
FM,,台中市,,西區,403,12662,台中尚美店,台中市西區向上北路１９２號．１９４號１樓,Y
FM,,台北市,,松山區,105,12657,長城店,台北市松山區敦化北路１２０巷８０號,Y
FM,,台中市,,霧峰區,413,12672,霧峰新錦峰店,台中市霧峰區錦州路３３１號,Y
FM,,新北市,,板橋區,220,12688,板橋文興店,新北市板橋區民生路二段２３０號１樓,Y
FM,,高雄市,,鳳山區,830,12690,鳳山鳳翔店,高雄市鳳山區中山東路２３４巷５３號,Y
FM,,新北市,,中和區,235,9159,中和橋安店,新北市中和區橋和路１２０號,Y
FM,,宜蘭縣,,蘇澳鎮,270,11059,蘇澳車頭店,宜蘭縣蘇澳鎮蘇南里中山路一段６３號一樓,Y
FM,,嘉義市,,西區,600,12699,嘉義憶富店,嘉義市西區民權路３９６號１樓,Y
FM,,台中市,,北區,404,12696,台中永興店,台中市北區健行路３７５號１Ｆ,Y
FM,,桃園市,,龍潭區,325,12693,龍潭中興店,桃園市龍潭區中興村中興路６５號１樓,Y
FM,,桃園市,,桃園區,330,12707,桃園中山店,桃園市桃園區中山路５０５號１Ｆ,Y
FM,,台南市,,後壁區,731,12726,後壁茄苳店,台南市後壁區嘉明里上茄苳１４６之３３號３２號,Y
FM,,台南市,,南區,702,12731,台南金華店,臺南市南區新孝路７２號１樓,Y
FM,,彰化縣,,溪湖鎮,514,12739,溪湖再發店,彰化縣溪湖鎮崙子腳路１２２號,Y
FM,,台南市,,新營區,730,12740,新營和平店,台南市新營區和平路４６號,Y
FM,,台中市,,豐原區,420,12750,豐原新水源店,台中市豐原區水源路１７號,Y
FM,,新北市,,板橋區,220,10379,板橋金巨蛋店,新北市板橋區民生路二段２５０號１樓及ｂ１,Y
FM,,台北市,,北投區,112,9489,新實店,臺北市北投區實踐街５１號１樓,Y
FM,,桃園市,,楊梅區,326,10315,楊梅瑞梅店,桃園市楊梅區梅獅路二段６９之１號,Y
FM,,高雄市,,楠梓區,811,10561,日月光一店,高雄市楠梓加工區經三路２６號地下一層,Y
FM,,高雄市,,楠梓區,811,10562,日月光五店,高雄市楠梓加工區經六路６６號,Y
FM,,高雄市,,楠梓區,811,10662,日月光八店,高雄市楠梓區西五街１０號Ｂ１,Y
FM,,高雄市,,楠梓區,811,10663,日月光九店,高雄市楠梓加工區開發路７３號,Y
FM,,基隆市,,中山區,203,10822,基隆經國店,基隆市中山區復興路３３６－１號,Y
