"MARKET_CD","MARKET_NM","HSN_CD","HSN_NM","TOWN_CD","TOWN_NM","ROAD_CD","ROAD_NM","STORE_CD","STORE_NM","ADDR","ISOPEN","ZIP_CD"
"HL","萊爾富","A","臺北市","106","大安區","","","2001","北市杭州店","台北市大安區杭州南路二段５號","Y","106"
"HL","萊爾富","K","苗栗縣","351","頭份市","","","2002","苗縣頭份二店","苗栗縣頭份市日新街４２號","Y","351"
"HL","萊爾富","A","臺北市","114","內湖區","","","2003","北市康寧店","台北市內湖區康寧路３段１５５號","Y","114"
"HL","萊爾富","A","臺北市","114","內湖區","","","2006","北市金湖店","台北市內湖區金湖路４０３號","Y","114"
"HL","萊爾富","P","雲林縣","640","斗六市","","","2012","斗六民生店","雲林縣斗六市民生路１６０號一樓","Y","640"
"HL","萊爾富","F","新北市","241","三重區","","","2014","北縣中陽二店","新北市三重區中正北路６６號","Y","241"
"HL","萊爾富","H","桃園市","334","八德區","","","2017","八德桃鶯三店","桃園市八德區桃鶯路７４號","Y","334"
"HL","萊爾富","A","臺北市","114","內湖區","","","2020","北市國醫店","台北市內湖區民權東路六段１２３巷３０、３２號","Y","114"
"HL","萊爾富","O","新竹市","382","北區","","","2025","新竹林森店","新竹市北區四維路１７號","Y","300"
"HL","萊爾富","N","彰化縣","510","員林市","","","2029","彰縣員林店","彰化縣員林市中山路２段２號","Y","510"
"HL","萊爾富","H","桃園市","327","新屋區","","","2034","桃縣西濱店","桃園市新屋區中山西路３段６１８號","Y","327"
"HL","萊爾富","N","彰化縣","500","彰化市","","","2036","彰市三民店","彰化縣彰化市三民路３８６號","Y","500"
"HL","萊爾富","F","新北市","241","三重區","","","2042","北縣中央北店","新北市三重區中央北路６８號","Y","241"
"HL","萊爾富","E","高雄市","830","鳳山區","","","2047","鳳山博愛店","高雄市鳳山區博愛路３５１號","Y","830"
"HL","萊爾富","A","臺北市","104","中山區","","","2051","北市新喜店","台北市中山區德惠街１６７巷２號","Y","104"
"HL","萊爾富","I","嘉義市","671","東區","","","2053","嘉市吳鳳店","嘉義市東區吳鳳南路６４７號","Y","600"
"HL","萊爾富","E","高雄市","806","前鎮區","","","2054","高市復興店","高雄市前鎮區中山二路１號","Y","806"
"HL","萊爾富","O","新竹市","383","香山區","","","2055","新竹埔東店","新竹市香山區牛埔東路６號","Y","300"
"HL","萊爾富","J","新竹縣","302","竹北市","","","2057","竹北東興店","新竹縣竹北市東興路二段６、８號","Y","302"
"HL","萊爾富","F","新北市","235","中和區","","","2062","北縣員山店","新北市中和區員山路５０２-７號","Y","235"
"HL","萊爾富","D","臺南市","710","永康區","","","2063","永康洲尾店","台南市永康區中正南路６４９號","Y","710"
"HL","萊爾富","B","臺中市","407","西屯區","","","2064","台中逢甲店","台中市西屯區逢甲路２號","Y","407"
"HL","萊爾富","Q","嘉義縣","622","大林鎮","","","2067","嘉縣大林店","嘉義縣大林鎮平林里６鄰下潭底２３-５號","Y","622"
"HL","萊爾富","B","臺中市","408","南屯區","","","2068","台中黎明店","台中市南屯區黎明路一段１２９號","Y","408"
"HL","萊爾富","F","新北市","220","板橋區","","","2069","北縣江翠店","新北市板橋區文化路二段４０８號","Y","220"
"HL","萊爾富","D","臺南市","704","北區","","","2074","南市海安店","台南市北區臨安路２段２１５號","Y","704"
"HL","萊爾富","K","苗栗縣","356","後龍鎮","","","2075","苗縣後龍店","苗栗縣後龍鎮中山路３５０號","Y","356"
"HL","萊爾富","T","屏東縣","900","屏東市","","","2076","屏市迪化店","屏東縣屏東市中山路１２８號","Y","900"
"HL","萊爾富","M","南投縣","551","名間鄉","","","2079","南投員集店","南投縣名間鄉濁水村員集路３３-１７號","Y","551"
"HL","萊爾富","P","雲林縣","640","斗六市","","","2083","斗六西平店","雲林縣斗六市北平路１號","Y","640"
"HL","萊爾富","F","新北市","234","永和區","","","2087","北縣永利店","新北市永和區中正路５６０號","Y","234"
"HL","萊爾富","H","桃園市","324","平鎮區","","","2096","平鎮大仁店","桃園市平鎮區大勇街６４號","Y","324"
"HL","萊爾富","F","新北市","239","鶯歌區","","","2097","北縣大湖店","新北市鶯歌區大湖路３６６號及中湖街２號","Y","239"
"HL","萊爾富","F","新北市","242","新莊區","","","2109","北縣瓊林南店","新北市新莊區瓊林南路１３３號","Y","242"
"HL","萊爾富","F","新北市","231","新店區","","","2110","北縣莊敬店","新北市新店區中正路５２５號","Y","231"
"HL","萊爾富","O","新竹市","381","東區","","","2113","新竹竹中店","新竹市東區光復路一段３２、３４號","Y","300"
"HL","萊爾富","A","臺北市","104","中山區","","","2115","北市雙連店","台北市中山區民生西路６２號","Y","104"
"HL","萊爾富","O","新竹市","381","東區","","","2126","新竹建中店","新竹市東區建中一路２號","Y","300"
"HL","萊爾富","B","臺中市","429","神岡區","","","2127","中縣豐洲店","台中市神岡區大洲路２-３號","Y","429"
"HL","萊爾富","F","新北市","238","樹林區","","","2128","北縣樹俊店","新北市樹林區三俊街２５４號","Y","238"
"HL","萊爾富","A","臺北市","114","內湖區","","","2132","北市明湖店","台北市內湖區民權東路６段２９６巷６８號","Y","114"
"HL","萊爾富","A","臺北市","116","文山區","","","2133","北市試院店","台北市文山區試院路１０４號","Y","116"
"HL","萊爾富","E","高雄市","801","前金區","","","2138","高市漢神店","高雄市前金區成功一路２７０號","Y","801"
"HL","萊爾富","H","桃園市","320","中壢區","","","2139","中壢龍德店","桃園市中壢區龍東路２號","Y","320"
"HL","萊爾富","J","新竹縣","308","寶山鄉","","","2141","竹縣寶山店","新竹縣寶山鄉雙園路二段３２７號","Y","308"
"HL","萊爾富","H","桃園市","334","八德區","","","2144","八德廣興店","桃園市八德區廣興路７９８-１號、新興路２８０-１號","Y","334"
"HL","萊爾富","H","桃園市","334","八德區","","","2145","八德松柏林店","桃園市八德區大興路６７０號","Y","334"
"HL","萊爾富","H","桃園市","337","大園區","","","2147","桃縣海口店","桃園市大園區國際路三段５８１號","Y","337"
"HL","萊爾富","H","桃園市","334","八德區","","","2153","八德麻園店","桃園市八德區介壽路二段４９２號","Y","334"
"HL","萊爾富","F","新北市","220","板橋區","","","2154","北縣板莊店","新北市板橋區莊敬路２４８號","Y","220"
"HL","萊爾富","E","高雄市","831","大寮區","","","2166","高縣光明店","高雄市大寮區大寮路８３０號                           ","Y","831"
"HL","萊爾富","A","臺北市","105","松山區","","","2169","北市饒河店","台北市松山區饒河街３５號","Y","105"
"HL","萊爾富","H","桃園市","320","中壢區","","","2170","中壢龍和店","桃園市中壢區龍和一街２４０號","Y","320"
"HL","萊爾富","F","新北市","235","中和區","","","2171","北縣興南店","新北市中和區信義街５０號","Y","235"
"HL","萊爾富","A","臺北市","103","大同區","","","2174","北市衣蝶店","台北市大同區南京西路６３號","Y","103"
